x,y
1,0
2,1
3,4
4,9
5,16
6,25
7,36
8,49
9,64
10,81
11,100
12,121
13,144
14,169
15,196
16,225
17,256
18,289
19,324
20,361
21,400
22,441
23,484
24,529
25,576
26,625
27,676
28,729
29,784
30,841
31,900
32,961
33,1024
34,1089
35,1156
36,1225
37,1296
38,1369
39,1444
40,1521
41,1600
42,1681
43,1764
44,1849
45,1936
46,2025
47,2116
48,2209
49,2304
50,2401
51,2500
52,2601
53,2704
54,2809
55,2916
56,3025
57,3136
58,3249
59,3364
60,3481
61,3600
62,3721
63,3844
64,3969
65,4096
66,4225
67,4356
68,4489
69,4624
70,4761
71,4900
72,5041
73,5184
74,5329
75,5476
76,5625
77,5776
78,5929
79,6084
80,6241
81,6400
82,6561
83,6724
84,6889
85,7056
86,7225
87,7396
88,7569
89,7744
90,7921
91,8100
92,8281
93,8464
94,8649
95,8836
96,9025
97,9216
98,9409
99,9604
100,9801
101,10000
102,10201
103,10404
104,10609
105,10816
106,11025
107,11236
108,11449
109,11664
110,11881
111,12100
112,12321
113,12544
114,12769
115,12996
116,13225
117,13456
118,13689
119,13924
120,14161
121,14400
122,14641
123,14884
124,15129
125,15376
126,15625
127,15876
128,16129
129,16384
130,16641
131,16900
132,17161
133,17424
134,17689
135,17956
136,18225
137,18496
138,18769
139,19044
140,19321
141,19600
142,19881
143,20164
144,20449
145,20736
146,21025
147,21316
148,21609
149,21904
150,22201
151,22500
152,22801
153,23104
154,23409
155,23716
156,24025
157,24336
158,24649
159,24964
160,25281
161,25600
162,25921
163,26244
164,26569
165,26896
166,27225
167,27556
168,27889
169,28224
170,28561
171,28900
172,29241
173,29584
174,29929
175,30276
176,30625
177,30976
178,31329
179,31684
180,32041
181,32400
182,32761
183,33124
184,33489
185,33856
186,34225
187,34596
188,34969
189,35344
190,35721
191,36100
192,36481
193,36864
194,37249
195,37636
196,38025
197,38416
198,38809
199,39204
200,39601
