x1,x2,x3,y
3,5,1,8.9
2,1,1,3.9
4,2,3,8.7
5,2,4,10.6
3,4,3,9.7
3,2,5,9.5
1,5,2,7.8
4,5,4,12.6
5,4,4,12.6
1,5,2,7.8
2,4,4,9.6
1,2,5,7.5
3,5,3,10.7
1,2,5,7.5
3,2,3,7.7
2,2,5,8.5
1,5,5,10.5
1,4,3,7.7
2,2,1,4.9
3,5,1,8.9
2,4,1,6.9
4,2,5,10.5
5,3,2,9.8
4,5,5,13.5
5,4,2,10.8
2,3,4,8.6
4,2,5,10.5
1,5,2,7.8
1,3,5,8.5
1,5,1,6.9
1,5,5,10.5
5,2,4,10.6
3,2,3,7.7
5,5,1,10.9
5,1,2,7.8
2,1,5,7.5
1,3,2,5.8
5,4,2,10.8
4,2,3,8.7
3,5,2,9.8
1,3,2,5.8
5,5,3,12.7
2,5,3,9.7
4,5,3,11.7
2,5,4,10.6
3,5,1,8.9
5,2,2,8.8
2,5,1,7.9
2,3,3,7.7
4,2,5,10.5
4,1,4,8.6
4,3,2,8.8
2,3,5,9.5
2,2,3,6.7
1,2,1,3.9
2,5,3,9.7
5,5,5,14.5
3,1,3,6.7
2,2,3,6.7
1,2,1,3.9
5,3,5,12.5
5,1,4,9.6
1,2,2,4.8
3,5,5,12.5
2,3,5,9.5
2,2,1,4.9
1,4,1,5.9
3,5,5,12.5
5,2,2,8.8
4,3,2,8.8
4,5,2,10.8
5,2,1,7.9
2,2,1,4.9
4,3,2,8.8
3,4,1,7.9
3,1,4,7.6
5,2,5,11.5
3,1,5,8.5
1,2,4,6.6
4,1,3,7.7
2,2,1,4.9
1,5,5,10.5
5,3,1,8.9
1,4,5,9.5
2,4,2,7.8
5,1,3,8.7
1,1,1,2.9
4,4,5,12.5
5,4,2,10.8
3,1,3,6.7
4,1,5,9.5
1,2,5,7.5
4,3,1,7.9
3,3,1,6.9
2,2,5,8.5
3,1,3,6.7
3,4,1,7.9
4,5,4,12.6
5,5,4,13.6
3,3,4,9.6
